1K,20151015041633,192.168.33.11,56469,192.168.33.10,5001,3,0.0-30.0,15319564288,4085207475
4K,20151015041708,192.168.33.11,56470,192.168.33.10,5001,3,0.0-30.1,17065312256,4541089221
8K,20151015041743,192.168.33.11,56471,192.168.33.10,5001,3,0.0-30.0,19533529088,5208936228
32K,20151015041818,192.168.33.11,56472,192.168.33.10,5001,3,0.0-30.0,18838585344,5017039399
128K,20151015041853,192.168.33.11,56473,192.168.33.10,5001,3,0.0-30.0,34314256384,9150432987
1K,20151015064130,192.168.33.11,56619,192.168.33.10,5001,3,0.0-30.7,13900972032,3628142928
4K,20151015064205,192.168.33.11,56620,192.168.33.10,5001,3,0.0-30.1,4342808576,1153689805
8K,20151015064240,192.168.33.11,56621,192.168.33.10,5001,3,0.0-30.0,6019743744,1605205391
32K,20151015064315,192.168.33.11,56622,192.168.33.10,5001,3,0.0-30.0,16185163776,4311785210
128K,20151015064350,192.168.33.11,56623,192.168.33.10,5001,3,0.0-30.1,37230477312,9899726288
1K,20151015065020,192.168.33.11,56634,192.168.33.10,5001,3,0.0-31.2,6325141504,1622750609
4K,20151015065055,192.168.33.11,56635,192.168.33.10,5001,3,0.0-30.0,17439784960,4650604517
8K,20151015065130,192.168.33.11,56636,192.168.33.10,5001,3,0.0-30.0,7682129920,2045465552
32K,20151015065207,192.168.33.11,56637,192.168.33.10,5001,3,0.0-30.0,16894656512,4505227770
128K,20151015065242,192.168.33.11,56638,192.168.33.10,5001,3,0.0-30.1,34126299136,9059402767
1K,20151015065911,192.168.33.11,56649,192.168.33.10,5001,3,0.0-30.0,5875695616,1566845896
4K,20151015065946,192.168.33.11,56650,192.168.33.10,5001,3,0.0-30.0,5240913920,1395975535
8K,20151015070021,192.168.33.11,56651,192.168.33.10,5001,3,0.0-30.2,9995943936,2650573789
32K,20151015070056,192.168.33.11,56652,192.168.33.10,5001,3,0.0-30.0,16305750016,4346809604
128K,20151015070131,192.168.33.11,56653,192.168.33.10,5001,3,0.0-30.2,33493745664,8877518565
1K,20151015070800,192.168.33.11,56664,192.168.33.10,5001,3,0.0-30.1,7816085504,2076325444
4K,20151015070835,192.168.33.11,56665,192.168.33.10,5001,3,0.0-30.0,8213102592,2186600686
8K,20151015070910,192.168.33.11,56666,192.168.33.10,5001,3,0.0-30.0,22445817856,5985527286
32K,20151015070946,192.168.33.11,56667,192.168.33.10,5001,3,0.0-30.1,17710579712,4700640344
128K,20151015071021,192.168.33.11,56668,192.168.33.10,5001,3,0.0-30.1,32509394944,8645691727
1K,20151015071650,192.168.33.11,56679,192.168.33.10,5001,3,0.0-30.1,4501143552,1194657561
4K,20151015071725,192.168.33.11,56680,192.168.33.10,5001,3,0.0-30.0,4195090432,1117331994
8K,20151015071800,192.168.33.11,56681,192.168.33.10,5001,3,0.0-30.2,4909432832,1299149149
32K,20151015071835,192.168.33.11,56682,192.168.33.10,5001,3,0.0-30.0,16239296512,4330466511
128K,20151015071910,192.168.33.11,56683,192.168.33.10,5001,3,0.0-30.2,31797018624,8427101601
